zip,num_vehicles,num_chargers,_merge,vehicles_per_charger,valid_zip
91016,0.0,20,right_only,0.0,1
91030,0.0,12,right_only,0.0,1
91040,0.0,1,right_only,0.0,1
91042,0.0,6,right_only,0.0,1
91101,0.0,33,right_only,0.0,1
91103,0.0,4,right_only,0.0,1
91104,0.0,2,right_only,0.0,1
91105,0.0,20,right_only,0.0,1
91106,0.0,5,right_only,0.0,1
91107,0.0,32,right_only,0.0,1
91125,0.0,2,right_only,0.0,1
91201,0.0,8,right_only,0.0,1
91202,0.0,2,right_only,0.0,1
91203,0.0,19,right_only,0.0,1
91204,0.0,11,right_only,0.0,1
91205,0.0,6,right_only,0.0,1
91206,0.0,4,right_only,0.0,1
91208,0.0,7,right_only,0.0,1
91210,0.0,8,right_only,0.0,1
91214,0.0,2,right_only,0.0,1
91301,0.0,17,right_only,0.0,1
91302,0.0,14,right_only,0.0,1
91303,0.0,26,right_only,0.0,1
91304,0.0,6,right_only,0.0,1
91306,0.0,5,right_only,0.0,1
91307,0.0,6,right_only,0.0,1
91311,0.0,26,right_only,0.0,1
91316,0.0,12,right_only,0.0,1
91320,0.0,15,right_only,0.0,1
91321,0.0,9,right_only,0.0,1
91324,0.0,17,right_only,0.0,1
91325,0.0,20,right_only,0.0,1
91326,0.0,9,right_only,0.0,1
91330,0.0,8,right_only,0.0,1
91331,0.0,10,right_only,0.0,1
91335,0.0,14,right_only,0.0,1
91340,0.0,12,right_only,0.0,1
91342,0.0,12,right_only,0.0,1
91343,0.0,11,right_only,0.0,1
91344,0.0,8,right_only,0.0,1
91345,0.0,10,right_only,0.0,1
91350,0.0,10,right_only,0.0,1
91351,0.0,5,right_only,0.0,1
91352,0.0,5,right_only,0.0,1
91355,0.0,44,right_only,0.0,1
91356,0.0,24,right_only,0.0,1
91360,0.0,20,right_only,0.0,1
91361,0.0,24,right_only,0.0,1
91362,0.0,39,right_only,0.0,1
91364,0.0,7,right_only,0.0,1
91367,0.0,44,right_only,0.0,1
91377,0.0,1,right_only,0.0,1
91381,0.0,1,right_only,0.0,1
91384,0.0,1,right_only,0.0,1
91387,0.0,3,right_only,0.0,1
91401,0.0,11,right_only,0.0,1
91402,0.0,14,right_only,0.0,1
91403,0.0,12,right_only,0.0,1
91405,0.0,57,right_only,0.0,1
91406,0.0,17,right_only,0.0,1
91411,0.0,14,right_only,0.0,1
91423,0.0,25,right_only,0.0,1
91436,0.0,11,right_only,0.0,1
91502,0.0,66,right_only,0.0,1
91504,0.0,10,right_only,0.0,1
91505,0.0,40,right_only,0.0,1
91506,0.0,10,right_only,0.0,1
91522,0.0,1,right_only,0.0,1
91523,0.0,2,right_only,0.0,1
91601,0.0,21,right_only,0.0,1
91602,0.0,28,right_only,0.0,1
91604,0.0,19,right_only,0.0,1
91605,0.0,12,right_only,0.0,1
91606,0.0,42,right_only,0.0,1
91607,0.0,8,right_only,0.0,1
91608,0.0,43,right_only,0.0,1
91701,0.0,3,right_only,0.0,1
91702,0.0,9,right_only,0.0,1
91706,0.0,7,right_only,0.0,1
91708,0.0,1,right_only,0.0,1
91709,0.0,20,right_only,0.0,1
91710,0.0,7,right_only,0.0,1
91711,0.0,27,right_only,0.0,1
91722,0.0,2,right_only,0.0,1
91723,0.0,15,right_only,0.0,1
91724,0.0,1,right_only,0.0,1
91730,0.0,19,right_only,0.0,1
91731,0.0,17,right_only,0.0,1
91732,0.0,10,right_only,0.0,1
91733,0.0,3,right_only,0.0,1
91737,0.0,1,right_only,0.0,1
91739,0.0,5,right_only,0.0,1
91740,0.0,11,right_only,0.0,1
91741,0.0,10,right_only,0.0,1
91744,0.0,3,right_only,0.0,1
91745,0.0,4,right_only,0.0,1
91746,0.0,38,right_only,0.0,1
91748,0.0,9,right_only,0.0,1
91750,0.0,12,right_only,0.0,1
91752,0.0,4,right_only,0.0,1
91754,0.0,5,right_only,0.0,1
91755,0.0,6,right_only,0.0,1
9176.,0.0,1,right_only,0.0,1
91761,0.0,23,right_only,0.0,1
91762,0.0,4,right_only,0.0,1
91763,0.0,9,right_only,0.0,1
91764,0.0,21,right_only,0.0,1
91765,0.0,44,right_only,0.0,1
91766,0.0,4,right_only,0.0,1
91767,0.0,16,right_only,0.0,1
91768,0.0,5,right_only,0.0,1
91770,0.0,8,right_only,0.0,1
