zip,num_ev_vehicles,num_ev_stations,ev_vehicles_per_station
90608,8.0,0.0,
90609,4.0,0.0,
90610,2.0,0.0,
90620,1699.0,7.0,242.71428571428572
90621,1807.0,12.0,150.58333333333334
90622,3.0,0.0,
90623,984.0,1.0,984.0
90630,2710.0,54.0,50.18518518518518
90631,2355.0,10.0,235.5
90632,4.0,0.0,
90633,1.0,0.0,
90637,4.0,0.0,
90638,1764.0,20.0,88.2
90639,2.0,0.0,
90640,1227.0,32.0,38.34375
90650,1764.0,16.0,110.25
90651,2.0,0.0,
90652,1.0,0.0,
90660,839.0,5.0,167.8
90662,1.0,0.0,
90670,560.0,6.0,93.33333333333333
90680,808.0,7.0,115.42857142857143
90701,503.0,2.0,251.5
90702,3.0,0.0,
90703,3388.0,30.0,112.93333333333334
90704,33.0,0.0,
90706,1236.0,22.0,56.18181818181818
90707,6.0,0.0,
90710,717.0,3.0,239.0
90712,1037.0,5.0,207.4
90713,770.0,4.0,192.5
90714,4.0,0.0,
90715,471.0,2.0,235.5
90716,139.0,3.0,46.333333333333336
90717,550.0,4.0,137.5
90720,1323.0,4.0,330.75
90723,489.0,13.0,37.61538461538461
90727,1.0,0.0,
90728,1.0,0.0,
90730,1.0,0.0,
90731,1041.0,29.0,35.89655172413793
90732,837.0,2.0,418.5
90733,5.0,0.0,
90734,5.0,0.0,
90740,1100.0,13.0,84.61538461538461
90742,63.0,0.0,
90743,34.0,0.0,
90744,391.0,12.0,32.583333333333336
90745,1280.0,29.0,44.13793103448276
90746,851.0,40.0,21.275
90747,1.0,0.0,
90748,3.0,0.0,
90749,5.0,0.0,
90755,605.0,10.0,60.5
90801,8.0,0.0,
90802,1158.0,103.0,11.242718446601941
90803,1511.0,24.0,62.958333333333336
90804,568.0,1.0,568.0
90805,1109.0,6.0,184.83333333333334
90806,688.0,9.0,76.44444444444444
90807,1241.0,2.0,620.5
90808,1577.0,22.0,71.68181818181819
90809,2.0,0.0,
90810,460.0,12.0,38.333333333333336
90813,421.0,22.0,19.136363636363637
90814,645.0,0.0,
90815,1485.0,14.0,106.07142857142857
90831,1.0,0.0,
90832,1.0,0.0,
90840,1.0,2.0,0.5
90846,0.0,8.0,0.0
90903,1.0,0.0,
91001,2055.0,0.0,
91003,2.0,0.0,
91006,2784.0,9.0,309.3333333333333
91007,2163.0,12.0,180.25
91008,114.0,0.0,
91009,2.0,0.0,
91010,718.0,4.0,179.5
91011,2495.0,8.0,311.875
91012,8.0,0.0,
91016,1579.0,20.0,78.95
91017,11.0,0.0,
91020,366.0,0.0,
91021,7.0,0.0,
91024,677.0,0.0,
91025,6.0,0.0,
91030,1698.0,11.0,154.36363636363637
91031,13.0,0.0,
91040,1178.0,1.0,1178.0
91041,3.0,0.0,
91042,1374.0,6.0,229.0
91043,2.0,0.0,
91046,4.0,0.0,
91066,14.0,0.0,
91077,4.0,0.0,
91101,980.0,33.0,29.696969696969695
91102,5.0,0.0,
91103,1020.0,4.0,255.0
91104,1529.0,2.0,764.5
91105,1291.0,20.0,64.55
91106,1246.0,4.0,311.5
91107,2223.0,32.0,69.46875
91108,1601.0,0.0,
91109,23.0,0.0,
91114,3.0,0.0,
91115,2.0,0.0,
91116,8.0,0.0,
91117,3.0,0.0,
91118,16.0,0.0,
91124,2.0,0.0,
91125,5.0,2.0,2.5
91126,1.0,0.0,
91201,1102.0,8.0,137.75
91202,1252.0,2.0,626.0
91203,884.0,19.0,46.526315789473685
91204,849.0,11.0,77.18181818181819
91205,1199.0,6.0,199.83333333333334
91206,1763.0,4.0,440.75
91207,710.0,0.0,
91208,1236.0,7.0,176.57142857142858
91209,5.0,0.0,
91210,30.0,8.0,3.75
91214,2162.0,2.0,1081.0
91221,3.0,0.0,
91222,1.0,0.0,
91225,3.0,0.0,
91226,3.0,0.0,
91230,1.0,0.0,
91301,2174.0,17.0,127.88235294117646
91302,3383.0,14.0,241.64285714285714
91303,791.0,26.0,30.423076923076923
91304,2059.0,6.0,343.1666666666667
91305,1.0,0.0,
91306,1525.0,5.0,305.0
91307,2198.0,6.0,366.3333333333333
91308,6.0,0.0,
91309,2.0,0.0,
91310,1.0,0.0,
91311,2402.0,26.0,92.38461538461539
91313,7.0,0.0,
91316,2145.0,12.0,178.75
91319,5.0,0.0,
91320,2652.0,15.0,176.8
91321,1028.0,9.0,114.22222222222223
91322,1.0,0.0,
91324,1333.0,17.0,78.41176470588235
