zip,num_h2_vehicles,num_h2_stations,h2_vehicles_per_station
90028,0.0,1,0.0
90045,0.0,1,0.0
90504,0.0,1,0.0
90716,0.0,1,0.0
90740,0.0,1,0.0
90807,0.0,1,0.0
91011,0.0,1,0.0
91030,0.0,1,0.0
91106,0.0,1,0.0
91345,0.0,1,0.0
91362,0.0,1,0.0
91364,0.0,1,0.0
91423,0.0,1,0.0
91505,0.0,1,0.0
91604,0.0,1,0.0
91706,0.0,1,0.0
91761,0.0,2,0.0
91765,0.0,1,0.0
92108,0.0,1,0.0
92626,0.0,1,0.0
92627,0.0,1,0.0
92630,0.0,1,0.0
92656,0.0,1,0.0
92675,0.0,1,0.0
92705,0.0,1,0.0
92708,0.0,1,0.0
92801,0.0,1,0.0
92866,0.0,1,0.0
92870,0.0,1,0.0
92882,0.0,1,0.0
93105,0.0,1,0.0
93210,0.0,1,0.0
94043,0.0,1,0.0
94080,0.0,1,0.0
94087,0.0,1,0.0
94523,0.0,1,0.0
94538,0.0,1,0.0
94541,0.0,1,0.0
94583,0.0,1,0.0
94601,0.0,1,0.0
94607,0.0,1,0.0
94610,0.0,1,0.0
94941,0.0,1,0.0
95008,0.0,1,0.0
95014,0.0,1,0.0
95070,0.0,1,0.0
95131,0.0,1,0.0
95136,0.0,1,0.0
95691,0.0,1,0.0
